,Unnamed: 0.1,Unnamed: 0,Text,socialMediaAbuse,twitterHateSpeech,tweets_reese_socialMediaAbuse,tweets_reese_twitterHateSpeech
2743,2743,2743,@PepeSil95199908 @xiruxi @Mac_Roberts @wildwayne @HotFreestyle @IAMATHLETEpod What y’all not about to do is talk shit about Angel Reese in my mentions so tread lightly 😈,"[6777, 5826, 3073, 2974, 5529]","[4976, 16324, 4126, 17999, 6158]",1,1
2744,2744,2744,Angel Reese says her team won't go to the White House but would celebrate with the Obamas https://t.co/P62MWjRoa3,"[754, 3976, 2201, 2979, 6777]","[7940, 20704, 16817, 22926, 20459]",1,2
2745,2745,2745,"this whole situation was blown outta proportion… it was literally a celebration both girls did …. get over it and stop making a big story out of yet ,  the first lady was stupid to consider inviting both teams , and Angel Reese should just go to the white house ….","[2201, 4848, 7793, 6777, 8124]","[21558, 758, 17791, 12049, 4885]",0,2
2746,2746,2746,Angel Reese was like 5 years old when Obama was arrested. She dont know Him and Bush were war criminals,"[7651, 1748, 1871, 8256, 6743]","[20731, 13644, 5517, 9637, 22906]",0,2
2747,2747,2747,So glad Angel Reese is speaking up. I’m phasing out people who are clearly racist at this point. Iowa being invited to the White House is crazy as hell. If you got a problem with her speaking on that you part of the problem,"[2751, 6234, 2778, 3976, 6647]","[9800, 2719, 731, 20459, 2720]",1,0
2748,2748,2748,Angel Reese gahdamn 6 ft 3 😂😂😂 bro she steph height,"[2503, 2369, 5826, 5876, 1748]","[3656, 5039, 6832, 11704, 19806]",1,2
2749,2749,2749,"With further reflection, if Angel Reese doesn't want to let it go, then that is her right. If she wants to meet the Obama's, then that is her wish. I hope @BarackObama calls her. This new generation does not play around. They are not the kumbaya types and we have to respect it.","[3976, 754, 1748, 186, 417]","[666, 20704, 2569, 9812, 2548]",1,2
2750,2750,2750,Talented Tenth Negroes response to Angel Reese lowkey been worse than the Oakley wearers,"[8250, 1060, 6596, 8512, 6347]","[13644, 1841, 465, 7546, 12474]",0,1
2751,2751,2751,"@TalbertSwan Angel Reese was doing too much. Its ok to say that. So was the white girl. Total double standard. I'll give you that one. 

To her credit Clark wasnt too bothered by it, just a bunch of old people shouting at their tv. Woo cares?","[6234, 4626, 4848, 7607, 5075]","[13644, 1497, 980, 21418, 22427]",1,2
2752,2752,2752,Angel Reese coach  ehhhh,"[5826, 951, 6076, 3455, 7069]","[7768, 2296, 13749, 3070, 9542]",0,2
2753,2753,2753,Hell yes to this. I am learning some things from Ms Angel Reese,"[1748, 4499, 6076, 5826, 7069]","[4157, 5340, 9261, 15644, 19723]",1,2
2754,2754,2754,@TraeK_ @angelreese is a relection of her parents.  And it ain't good.  She's a hate filled racist straight up at a young age.  Sad.,"[2665, 661, 6579, 155, 5386]","[19176, 14063, 16085, 18433, 13549]",0,0
2755,2755,2755,"Wait, Angel Reese doesn't want to go to the White House because she's mad at Jill Biden inviting Iowa to the White House too?! I mean, to each his own, but that's kinda petty, IMO. But it is what it is, I guess. IMO, this doesn't cast the best reflection of Angel Reese.","[951, 7651, 3476, 5825, 8475]","[4876, 9637, 13644, 20704, 20474]",0,2
2756,2756,2756,"Stephen A. Smith says Caitlin Clark, Angel Reese drama is a 'white-black issue' https://t.co/fmP7FCjvKU via @on3sports","[3496, 7487, 3036, 1343, 5075]","[21418, 647, 23905, 11893, 8271]",0,1
2758,2758,2758,"Angel Reese never claimed to be perfect.

She's doing what she's doing for young women who fall so far outside of society's definition of ""perfection"" they reject the idea of that altogether. 

🧵2/5","[145, 1875, 1633, 1748, 2256]","[21080, 11790, 12542, 24491, 13906]",1,2
2759,2759,2759,"To all Angel Reese fans, especially new fans:

Please remember the young woman we are supporting is a 20 y/o whose platform is based on being authentically herself. 

The media will be ready to pounce at any hint of a mistake.

Don't switch up when that happens.
🧵1/5","[1748, 186, 5529, 6777, 5826]","[14125, 15709, 10485, 16993, 7768]",1,2
2760,2760,2760,idk i think i have a crush on angel reese,"[5826, 951, 3730, 8250, 7651]","[24656, 10485, 7768, 23570, 11053]",1,2
2761,2761,2761,I’m an Angel Reese fan.,"[951, 5826, 3730, 7651, 7069]","[13749, 7768, 9942, 10120, 20603]",1,2
2762,2762,2762,@MadeInHawaii___ Like clockwork,"[1127, 7608, 411, 2000, 5071]","[19317, 5711, 3461, 5662, 3757]",1,2
2763,2763,2763,People acting like angel Reese pissed in Iowa locker room or something lmao young people talk shit it's not that serious,"[6893, 6039, 7470, 6077, 8116]","[20123, 24690, 8886, 23483, 2236]",1,2
2764,2764,2764,"Women's College Basketball is having a great moment. Don't let idiot comments from Dave Portnoy or Keith Olbermann about Caitlin Clark and Angel Reese distract you from the truth. #LTSI

Spotify: https://t.co/UBQd0bhfs3

Apple: https://t.co/v3fnaOO6Wp https://t.co/FCjmcxPjUd","[2235, 1111, 3542, 4643, 1594]","[17995, 14312, 17037, 6499, 758]",1,2
2765,2765,2765,@Honey223344 I didn't see an apology! Same. A statement from a spokesperson but it didn't give that. Even if she did Angel Reese has no obligation to accept it. Lmao,"[6991, 2663, 4808, 8124, 5182]","[14339, 6724, 16059, 11009, 18260]",0,2
2767,2767,2767,@JesseWellsNews @DetroitGotNexxt @RGIII Angel Reese is living rent free in your yt head,"[4362, 5289, 5348, 4381, 3154]","[3573, 2417, 17534, 19863, 17999]",1,2
2768,2768,2768,LSU's Angel Reese Rejects Jill Biden's Apology for White House Invite: 'You Said What You Said' https://t.co/rZrvD4qV6F via @Yahoo and the world is not at an end because of what this dummy Reese said. No one gives a rats ass about the Bidens or her!,"[2663, 4752, 8124, 8475, 702]","[4876, 1609, 1668, 15540, 15828]",0,0
2769,2769,2769,Angel reese,"[5826, 3730, 951, 1748, 6076]","[7768, 12265, 8430, 2899, 15709]",1,2
2770,2770,2770,"The discourse on here for days was based around Angel Reese just waving a hand in front of her face, but no national sports media seems to care about uconn students wrecking their campus and sending 16 people to the hospital","[4643, 213, 6893, 754, 775]","[23897, 6652, 9676, 18783, 13680]",0,2
2771,2771,2771,@caliphorniaqing angel reese might be my queen idk,"[5826, 197, 2026, 672, 1748]","[2997, 3236, 6950, 18197, 5415]",1,2
2772,2772,2772,Angel Reese is a perfect example of everybody owing you something no matter how talented or successful you are.,"[3730, 8250, 5826, 951, 7069]","[10101, 11792, 13417, 7768, 8431]",0,0
2773,2773,2773,I love the meteoric rise uptick in engagement that WBB has gotten. And it’s spearheaded by a black player named Angel Reese not confirming to the “norm”. Her norm is being unapologetically her authentic self. I love it. I hope y’all love it too.,"[3547, 2026, 2549, 7377, 754]","[324, 12700, 9370, 22060, 3952]",1,2
2774,2774,2774,"LSU's Angel Reese Rejects Jill Biden's Apology for White House Invite: 'You Said What You Said' https://t.co/CLYz6Ex63R via @Yahoo Angel Reese needs to shut her pie hole and get over herself. Jill Biden was trying to be nice. A little clueless, possibly misguided, but    nice.","[702, 8124, 8475, 910, 2663]","[4876, 1668, 1609, 14339, 14017]",0,0
2775,2775,2775,@Nike needs to get #AngelReese to  promote their single leg printed basketball tights. They should call the campaign “Just Do You”.,"[7578, 6843, 4298, 5632, 245]","[1442, 14353, 21067, 3818, 5377]",1,2
2776,2776,2776,"@TMZ Angel Reese is absolutely right! It's unfair to praise one athlete for an action and then criticize another for the same thing. Double standards have no place in sports, period. #EqualTreatment #RespectForAll See my homepage plz","[2666, 4643, 2638, 5632, 1152]","[16310, 11334, 10736, 23587, 20201]",1,2
2777,2777,2777,@RGIII … we NEED you to do the Angel Reese interview,"[951, 3730, 754, 6076, 7651]","[1609, 3825, 16227, 5925, 15731]",1,2
2778,2778,2778,"Don't fuck with real Gs.

Angel Reese been showing over and over that she's a real G.

Doesn't tell you.

*Shows* you.","[6777, 5826, 29, 1748, 2974]","[7768, 7930, 24593, 9362, 11559]",1,2
2779,2779,2779,LSU Star Angel Reese Responds to Critics: 'This Is for The Girls That Look Like Me' https://t.co/eEKn4UVLPp via @people,"[2256, 5346, 951, 697, 1858]","[24593, 14832, 16676, 10485, 156]",1,2
2780,2780,2780,Do they make Angel Reese Jerseys in men’s sizes ? Asking for nobody but myself 😂🤣,"[4750, 4298, 5128, 1149, 245]","[3189, 12417, 13030, 13158, 10586]",1,2
2781,2781,2781,"The way y’all are foaming at the mouth to put Angel Reese in her place, lets me know that you didn’t actually support her in the first place, and it was simply reactionary, because if a black woman standing up and standing her ground, makes you turn this quick, you a misogynist","[4626, 5068, 2273, 2455, 5182]","[15088, 13644, 15105, 19550, 7699]",1,0
2782,2782,2782,"@keith_doswell Oh oh Now Johny is upset at Angel Reese and Jill Biden. Lol 
He's Also is upset that Trump can't rip off more people with Trump University and the Cancer Fund.","[4748, 1555, 6408, 6709, 3237]","[17911, 18679, 16986, 6652, 11913]",0,0
2783,2783,2783,Smitt woulda loved angel reese 😂,"[648, 5826, 1748, 4620, 3819]","[20917, 2899, 17081, 15731, 1159]",1,2
2784,2784,2784,"Angel Reese. Good for you not accepting Jill Biden’s apology. You are so right. If roles were reversed, she would not have invited LSU. It’s always like that when they have a great “white hope.”
Congrats on your championship and keep being you. We got you!!","[2026, 6190, 3922, 8475, 6234]","[12296, 17778, 8393, 14752, 2588]",0,0
2785,2785,2785,"Jill Biden is an idiot for suggesting Iowa be invited, but Angel Reese is even more of an idiot for playing the race card in response...

https://t.co/bTj4EBkJDQ","[959, 3976, 3922, 6234, 6647]","[4876, 15331, 13970, 14243, 15445]",0,0
2786,2786,2786,"Jill Biden Scraps White House Invite for Iowa After Angel Reese Calls it/Jill -  ‘A Joke‘ !

https://t.co/XQdypHVtYH","[959, 3976, 6730, 2751, 4716]","[4876, 12049, 731, 15331, 5537]",0,2
2787,2787,2787,@Outkick Sucks for Reese’s teammates. It’s as if Angel Reese won the natty all by herself. And of course Ms. Reese fails to mention her teammates while being interviewed by everyone. It’s all about Angel Reese everyone,"[6777, 5826, 2026, 1748, 8386]","[3866, 3086, 14463, 3892, 6680]",0,0
2788,2788,2788,@AnthonyHegler @FLOTUS She just made an off the cuff comment. I don’t support it because I don’t care enough about her comment. If I was Angel Reese I wouldn’t even pay it no mind.,"[2691, 4321, 661, 197, 2665]","[6740, 3581, 4491, 4976, 20025]",0,2
2789,2789,2789,LSU’s Angel Reese: Team didn’t want Jill Biden coming into locker room before national title game https://t.co/ANR16Aot6C,"[5865, 7522, 2030, 2026, 2044]","[12296, 8393, 12511, 22626, 9542]",0,2
2791,2791,2791,"I want to see the Venn diagram of the people who have no problem with this, but also spent the last few days being Very Mad Online at Angel Reese.","[4532, 7651, 203, 6076, 2256]","[636, 7768, 22381, 12640, 8010]",0,2
2792,2792,2792,"@Reese10Angel Who is Angel Reese?  Not many people know and even fewer people care.  You think you're great, but you're not.","[21, 5826, 8086, 754, 8250]","[3238, 17367, 1414, 15731, 19940]",0,0
2793,2793,2793,I gain a reason to love Angel Reese everyday.,"[951, 3730, 5826, 4499, 7069]","[10727, 7768, 10485, 9942, 10361]",1,2
2794,2794,2794,"@EstWhatever LEFT MAGGIE TO DIE AND HE’S STILL BREATHING 

 https://t.co/nnjpVwex3T","[8041, 6777, 7545, 3863, 7359]","[6949, 17224, 17989, 14154, 16724]",0,0
2795,2795,2795,Lol people are pissed at Angel Reese for not accepting an apology  that was never given .,"[5182, 5826, 951, 6991, 8124]","[15813, 11009, 13644, 7768, 4290]",0,1
2796,2796,2796,@PFleeceman and it triggered some folks' fragile egos. They couldn't handle a Black woman being victorious and expressing herself. Shameful. #BlackGirlMagic #LSU #AngelReese See my homepage plz,"[8203, 6579, 5533, 854, 2235]","[18694, 15088, 1445, 4628, 17000]",1,2
2797,2797,2797,"Women's Basketball is having a great moment. Don't let idiot comments from Dave Portnoy or Keith Olbermann about Caitlin Clark and Angel Reese distract you from the truth.

Spotify: https://t.co/UBQd0bhfs3

Apple: https://t.co/v3fnaOO6Wp","[1111, 3542, 3286, 5053, 1594]","[20153, 17037, 8128, 12668, 758]",1,2
2798,2798,2798,"*Caitlin Clark and Angel Reese conversations come to an end* 

“CUE UP THE BUD LIGHT THING!!!”","[6799, 1303, 518, 6777, 3730]","[621, 9881, 617, 15656, 9427]",1,2
2799,2799,2799,"I don’t personally have any issues with what Angel Reese did bc I wasn’t involved but lf I literally just lost a national title and someone from the other team was following me on the court talking shit, in the heat of the moment…. my reaction would probably be to swing 🤷🏻‍♂️","[951, 1152, 6777, 1594, 5826]","[11136, 13796, 22626, 11891, 14422]",0,0
2801,2801,2801,I wish y’all would get of Angel Reese dick bra and let her be her..,"[1748, 4381, 6777, 4750, 5826]","[11092, 11091, 24656, 10485, 11105]",0,2
2802,2802,2802,angel reese being a black girl w/ the nerve to call out Bs with confidence &amp; meet audacity with audacity has the good blahhhqs in a tizzy. *gasp* “the nerve of her not to accept an apology when a ouite woman is performing public apology.” 🙄,"[5182, 6454, 7700, 681, 2751]","[13644, 21418, 1215, 481, 19190]",1,0
2803,2803,2803,"#WalkingWhileRetired on #NationalWalkingDay with Jill Biden who wants the LOOSERS #Iowa to
come to the #WhiteHouse with CHAMPIONSHIPS TEAM #LSULadyTigers 
 AND MOST OUTSTANDING PLAYER 
👑#AngelReese👋🏽 https://t.co/0o6kOlAZmD","[6190, 2852, 1592, 5528, 2026]","[842, 22211, 731, 24123, 751]",1,0
2804,2804,2804,angel reese pretty af,"[5826, 3730, 1748, 951, 8250]","[7768, 12265, 10485, 24593, 2899]",1,2
2805,2805,2805,It would be much easier for a segment of y'all to say y'all have a WEIRD worship of politicians and  respectability politics. Angel Reese very obvious rejects all of this. That's why y'all triggered. Go unpack that Mr. Sir.,"[510, 5826, 58, 3311, 2928]","[13644, 17729, 6034, 2718, 14695]",1,2
2806,2806,2806,"@NCAA should outlaw bullying taunting by #CaitlinClark #AngelReese as #NFL does. It should be technical foul &amp; disqualification for ONE game. You are adults, amateur players who must respect your opponent and not hurt their feelings. BE KIND!
@CaitlinClark22 @Reese10Angel https://t.co/eq30TulC0c","[4137, 2235, 332, 7838, 7669]","[23393, 16310, 1776, 6042, 15394]",0,0
2807,2807,2807,She so unapologetic 😂🤣 this the typa girl you go out with and if the waiter bring you the wrong shit she gone turn up. Keep Goin Angel Reese,"[4381, 6777, 7662, 214, 1748]","[1736, 2099, 12542, 11571, 8050]",1,2
2808,2808,2808,"@IngrahamAngle Angel Reese is a racist, let’s call it what it is.","[5826, 854, 2665, 1748, 8293]","[19176, 6247, 6355, 4762, 2720]",0,0
2809,2809,2809,I’d like to see Ja Morant &amp; Angel Reese in a relationship 😂❤️,"[1748, 4081, 1584, 6777, 1138]","[4450, 8659, 21242, 11792, 19105]",1,2
2810,2810,2810,"#Daraports - #PressPlay: Angel Reese declines Jill Biden’s invitation to the White House 

“We’ll go to the Obamas” 

(Via @IAMATHLETEpod ) https://t.co/fLTmJ5d6Eo","[3976, 959, 754, 4030, 6401]","[4876, 18679, 22926, 20459, 18863]",0,2
2811,2811,2811,In Her Bag: Angel Reese Is Bringing In Big Bucks In NIL Deals - https://t.co/ExcXco7KT3,"[5494, 5826, 6233, 1818, 1748]","[11012, 12848, 11183, 23781, 21959]",1,2
2812,2812,2812,As someone who is religiously known for saying what’s on my mind and being firm in my boundaries I love seeing Angel Reese saying shit with her chest.,"[951, 7069, 3730, 3950, 535]","[10485, 22674, 464, 17, 11086]",1,2
2813,2813,2813,Angel Reese has some serious HPD issues,"[5826, 7651, 8155, 1748, 6777]","[7768, 4118, 7845, 15041, 9948]",0,0
2814,2814,2814,Episode 270 - What did Angel Reese do? https://t.co/acLwSWRnyt via @YouTube Is the story being overblown and disrespectful to Angel Reese and LSU #AngelReese #LSULadyTigers #IowaWBB #CaitlinClark #podcast #BayouBarbie,"[951, 3730, 6076, 7651, 3256]","[7768, 8950, 2073, 205, 4450]",0,2
2815,2815,2815,Anyone else think this Angel Reese character is a real bitch?,"[5826, 3925, 8250, 3730, 6076]","[7768, 10120, 20499, 24097, 20603]",0,0
2816,2816,2816,Angel Reese finished the season w 555 rebounds but of course she did @Reese10Angel #angelnumbers 👼🏾,"[6777, 5826, 2026, 951, 1748]","[2899, 7768, 12851, 14752, 6972]",1,2
2817,2817,2817,"Angel Reese has more NIL deals than any other college hoops player, man or woman. https://t.co/Oyv5ggkXO8","[5865, 5826, 4684, 4164, 1594]","[8672, 19015, 6499, 20153, 7894]",1,2
2818,2818,2818,angel reese is so real,"[3730, 951, 5826, 6076, 7651]","[7768, 12911, 12265, 8663, 173]",1,2
2819,2819,2819,"You can't blame her. The first lady is a fraud, just like her dopey husband. Well done Angel.

Angel Reese: LSU wouldn't let Jill Biden into its locker room before championship game https://t.co/pwVrrHA7WV via @nypost","[6914, 4848, 3976, 4808, 6234]","[20731, 14752, 9683, 23440, 758]",0,0
2820,2820,2820,@KimberlyNFoster What? So you are saying historic  disrespect should be ok with these young Sistas? No Jill Biden made no mistake because after about 30 times of previous experiences why now is she trying to change a tradition that's been standing for over 100 years?? Check Jill not Angel Reese,"[7927, 1748, 4848, 6426, 7656]","[15105, 13611, 17954, 5800, 2718]",0,0
2821,2821,2821,Angel Reese doin the MOSTTTT … 🤦🏽,"[5826, 951, 3730, 6777, 8250]","[7768, 2899, 15644, 19522, 12265]",0,1
2822,2822,2822,Angel Reese is the new Sha'carri Richardson.,"[5826, 1748, 6777, 951, 2026]","[8384, 8672, 24414, 7894, 7768]",1,2
2823,2823,2823,Angel Reese talks White House invite and dream NIL deal after national championship with LSU  https://t.co/AmzEV8mcbc,"[3922, 812, 2044, 6190, 3976]","[6499, 12296, 17995, 7539, 15049]",1,2
2824,2824,2824,angel reese so bad,"[5826, 8250, 951, 3730, 7651]","[7768, 12265, 21708, 7930, 22237]",0,1
2826,2826,2826,"The amount of hate Angel Reese has received from Black people is insane.

It doesn’t surprise me one bit though…","[6441, 1060, 6976, 8502, 5826]","[13698, 10464, 16103, 13644, 6171]",0,0
2827,2827,2827,'Just keep being you': Angel Reese's words ring true for Black women who have heard all the criticisms before https://t.co/jOqLZtXZ7A via @Yahoo no Class!,"[3479, 7073, 1902, 6441, 854]","[15105, 15088, 19190, 21620, 19550]",0,2
2828,2828,2828,Michelle Obama when Angel Reese mentioned coming to her house https://t.co/ivEMorhL7K,"[156, 754, 5969, 661, 6632]","[8433, 20533, 11509, 16817, 18627]",1,1
2829,2829,2829,"Reacting to Angel Reese Drama, I Hate the New NBA CBA Rules and Hall of ... https://t.co/O2CcblWfro via @YouTube","[5826, 5865, 812, 3186, 7289]","[12109, 14422, 15540, 12259, 9283]",0,2
2830,2830,2830,"If I'm talking crazy, please let me know. I really do think Angel Reese &amp; Caitlin Clark has the potential to be the new Magic Johnson-Larry Bird rivalry! We'll see for sure in a few years in the @WNBA","[2026, 3384, 1748, 5658, 5865]","[20153, 12668, 5466, 24414, 7701]",1,2
2831,2831,2831,"Iowa's Caitlin Clark has said LSU's Angel Reese shouldn't be ""criticized"" for the gesture she directed at her. https://t.co/sLXTJXHNFX","[6234, 5825, 951, 6190, 5172]","[17778, 11334, 7768, 13796, 21526]",1,2
2832,2832,2832,Literally muted “angel reese” &amp; caitlyn clark” off my shit. Y’all niggas sick 🤣,"[3830, 1060, 3415, 7289, 5892]","[20221, 1135, 13470, 15356, 3065]",0,0
2833,2833,2833,"I see the folks in the shaderoom already switch up on Angel Reese. Black people will tell you to stay up for yourself and the minute you do, they said you doing too much. 😒","[1303, 8174, 3053, 202, 7069]","[21025, 8726, 20923, 3758, 11281]",0,2
2834,2834,2834,@jemelehill @TheAtlantic Can't wait to read this! It's time we call out the double standards and hold people accountable for their actions. #hypocrisy #angelreese,"[2181, 5092, 7528, 266, 6334]","[6034, 4263, 23587, 17196, 16162]",1,2
2835,2835,2835,"@TheNBACentral @PatBevPod I live in Seattle and was a big Sonics fan. Nobody did more than Gary Payton (that I know of) when it comes to being in opponents' head (and face) before, during, and after a game. I never heard him talked about like Angel Reese.","[7988, 2617, 7367, 332, 4164]","[11444, 9723, 3196, 3570, 12024]",0,2
2836,2836,2836,"People are really bent over Angel Reese eh? Give her a break. She’s playing the the biggest game she’s ever played in and she’s talking some trash, who cares? Adds a lil razzle dazzle IMO. Like some others have said, no one cries when a DL hits the Discount Double Check on AR12.","[5826, 6777, 1748, 2795, 2026]","[7768, 23706, 11183, 24593, 11698]",1,2
2837,2837,2837,"@FoxNews Angel Dear, your racializing the situation, are you trying to get an invite to Obama’s he’s not the President! You really need to get the chip of your shoulder and take sportsmanship class! Something tells me Clark will surpass you by far period in Women’s Basketball #angelreese","[4052, 4164, 5097, 7581, 2033]","[17747, 13517, 23689, 20459, 15088]",0,0
2838,2838,2838,Angel Reese gave Caitlin Clark whiteboard material. Revenge is a dish best served cold.,"[1236, 7662, 7842, 6233, 2026]","[13605, 12323, 20430, 15644, 9881]",1,1
2839,2839,2839,Meanwhile a gang of gay women were also hoping she was a lesbian with no pushback,"[4626, 4630, 317, 5661, 8388]","[21055, 22844, 13406, 12345, 9317]",1,2
2840,2840,2840,@inthemo_ment @espn @IowaWBB Angel Reese the champion!!,"[2026, 3922, 5306, 6190, 3503]","[2498, 2889, 5699, 17999, 5415]",1,2
2841,2841,2841,this is an angel reese stan account,"[5826, 6076, 5346, 6920, 3275]","[9371, 9372, 2492, 16467, 24656]",1,2
2842,2842,2842,Angel Reese confuses me.,"[5826, 3730, 7651, 6076, 951]","[7768, 12265, 11961, 10485, 14125]",0,2
2843,2843,2843,"I don't even follow basketball but like all Angel Reese did was a little trash talk? Like that shit was honestly so mild idk if it can even be considered trash talk, why are people mad? 

Oh right, because she's a black woman showing passion and a healthy competitive spirit 🙄","[4684, 5865, 7289, 8124, 4626]","[23117, 24465, 13644, 16310, 10417]",1,0
2844,2844,2844,Does Angel Reese not know how good of friends The Obamas are with The Bidens? 💀💀,"[2153, 8475, 1168, 7651, 3476]","[2549, 6836, 20274, 19817, 15271]",0,2
2846,2846,2846,"National Champion Angel Reese taunting Caitlin Clark!  
She finished with 15 PTS, 10 REB, 5 AST, 3 STL in LSU's 102-85 win.

""Clark is a hell of a player but I don’t take disrespect lightly. She disrespected Alexis &amp; my SEC girls. You all are not going to disrespect them either.… https://t.co/Rbf5yV9nDf","[2026, 6234, 5537, 966, 7607]","[99, 6075, 352, 9368, 12668]",0,0
2847,2847,2847,"Sometimes I’ll see post about the hormonal changes a woman could go through while she is on her menstrual cycle. “7” days of it.
You can compare that to how people went from- don’t humble her to okay she needs to sit down now, it’s been 3 days. 
Yes, I’m talkin bout Angel Reese.","[5817, 473, 1748, 8155, 8322]","[20705, 7472, 7988, 10854, 9698]",0,2
2848,2848,2848,Angel Reese said what she said and what,"[5826, 951, 3730, 6076, 7651]","[7768, 480, 10112, 20748, 552]",1,2
2849,2849,2849,"Caitlin Clark defends Angel Reese, says she shouldn't be 'criticized' for gesture directed towards her

https://t.co/Ug2WLLDOSW","[6234, 7607, 6579, 4716, 7734]","[16881, 19999, 24493, 4074, 15193]",1,2
2851,2851,2851,I SUPPORT ANGEL REESE OF LSU FEMALE BASKETBALL 🏀 TEAM 10000%,"[5865, 392, 1823, 754, 1655]","[1398, 12668, 6499, 12296, 2484]",1,2
2852,2852,2852,@CWilliamson44 @WonderKing82 And that’s her right even with a sincere apology she just doesn’t want to go and feel that when someone hurts me and apologies doesn’t mean all is forgiven that I’m ok with you now that takes time and I need to make sure you won’t repeat yourself so Angel Reese you do you sweetie,"[7415, 2183, 6991, 2663, 5959]","[18745, 11009, 15249, 16044, 5967]",0,2
2853,2853,2853,If see another bullshit tweet ab angel reese or Caitlyn Clark I am going to put a gun in my mouth,"[3568, 8250, 7407, 4684, 1823]","[2465, 24606, 5949, 5183, 13644]",0,0
2854,2854,2854,"@scottbi70294144 @RealSkipBayless @undisputed I can cite you dozens of examples of Skip criticizing players for taunting. In fact, I’m willing to bet that I can find a clip of any one of these talking heads currently defending Angel Reese taking a different view when the taunting comes from a man (particularly a black man)","[332, 6132, 6951, 6657, 4752]","[1776, 16310, 15540, 14423, 20482]",0,0
2855,2855,2855,Note to @stephenasmith it’s your own network that was racist towards Angel Reese NOT the majority of white people who tweeted that was a classless move which most middle school coaches preach having class You know that but 4 your dollars you won’t say it hurting more than helping https://t.co/AHvWvl64JO,"[3806, 6454, 4643, 2558, 8116]","[4628, 241, 216, 2262, 60]",0,0
2856,2856,2856,i love how angel reese doesn’t feel like she has to be nice to anyone because of their status and that she stands up for herself!,"[951, 5826, 1748, 754, 4912]","[10485, 7704, 560, 17367, 1771]",1,2
2857,2857,2857,"Angel Reese want to meet the Obama’s instead. Poor kid, she have no idea.","[1748, 754, 7138, 5529, 5826]","[20704, 11509, 12049, 7940, 23639]",0,2
2859,2859,2859,I miss the era when bbl stood for be back later,"[6904, 4654, 5785, 5064, 6642]","[7955, 10852, 13967, 22811, 2706]",1,2
2861,2861,2861,@madisonp0e @Reese10Angel @seimoneaugustus @kaylanashayyyyy bro why does your little sis later favor angel Reese so much to me 🤣🤣😍,"[6777, 4381, 5826, 793, 3450]","[12675, 3272, 6881, 4133, 14162]",1,2
2862,2862,2862,"Angel Reese is trending.

👑 https://t.co/kkJ1OcTS0T","[951, 5826, 7651, 3730, 1748]","[7768, 11699, 10485, 19300, 13204]",1,2
2863,2863,2863,"Some folks siding with Angel Reese, some folks siding with Caitlin Clark, and 99.9 percent of the folks absolutely do not college basketball.","[5865, 6893, 5826, 6234, 8193]","[6499, 17995, 8281, 8282, 7507]",0,2
2865,2865,2865,Folks mad at Angel Reese for her Leg 2023 preference of The Obamas vs The Bidens are wild. Would you rather get shot in the heart or the leg? You can survive a leg shot. Has @DivaLaci @ScamGoddessPod taught y'all nothing?,"[3605, 6684, 7927, 4321, 2780]","[20704, 4612, 14365, 4876, 13517]",1,2
2866,2866,2866,'Just keep being you': Angel Reese's words ring true for Black women who have heard all the criticisms before https://t.co/qqtPst94O1 via @Yahoo,"[3479, 1902, 7073, 5068, 854]","[15105, 15088, 19190, 21620, 19550]",1,2
2867,2867,2867,And furthermore if y’all think what Angel Reese does while competing is too much y’all would ABSOLUTELY HATE to compete against me on any level let alone the highest. IYKYK ⚡️,"[449, 5826, 358, 2225, 3484]","[7894, 7523, 14995, 17391, 1630]",1,2
2869,2869,2869,"@ToniLaNae Ppl are coming down on Angel Reese for her for liking Michelle, but she’s only 20","[6777, 2691, 1748, 3635, 5537]","[20697, 15004, 4843, 6075, 6949]",0,2
2870,2870,2870,Is Angel Reese related to Shaq and what is their connection #angelreese #shaq #nba #basketball #reese https://t.co/a69EIcU9mv,"[5865, 4684, 3256, 29, 812]","[12991, 8216, 9711, 8672, 19300]",0,2
2871,2871,2871,"Last time I’ma bring this up. If you rocked with this moment, but are crying about Angel Reese… I need you to stfu. And play Man In The Mirror. https://t.co/E9UAdcAWx8","[951, 75, 7069, 3509, 4499]","[10144, 13749, 23481, 20836, 12700]",0,0
2872,2872,2872,"They've also made Angel Reese the new demon of the day. Grown ass people, using young college women to fight their proxy wars. 

humanity was a mistake.","[5826, 7651, 7069, 3730, 4713]","[15393, 10112, 9642, 10311, 7704]",0,0
2873,2873,2873,"LSU's Angel Reese rejects Jill Biden's apology, saying her team could 'go to the Obamas' instead https://t.co/R3TBuqbC5o -- Interestingly they don't have a coach who speaks for all of them. They have a person who needs a shave and speaks in hood language for the whole team ? 🤔","[2852, 5647, 4333, 6190, 6881]","[17778, 7539, 12296, 3070, 13796]",0,0
2874,2874,2874,"Blac Chyna Claims It's 'The Devil' In Response To Mom Tokyo Toni Seemingly Wishing Death On Her https://t.co/x2enGOIQ9j
#BlacChyna #AngelReese #Gomez #BarbieTheMovie https://t.co/MqDY7kzkwo","[1082, 3491, 6076, 5292, 863]","[1215, 7768, 15371, 15400, 373]",0,0
2875,2875,2875,Because this is social media how long before people start calling Angel Reese annoying?,"[8445, 6611, 2665, 5088, 7651]","[15251, 13644, 10485, 22303, 24208]",0,2
