,Unnamed: 0.1,Unnamed: 0,Text,socialMediaAbuse,twitterHateSpeech,tweets_clark_socialMediaAbuse,tweets_clark_twitterHateSpeech
2712,2712,2712,"Here we go participation trophy 😂😂😂
Caitlin Clark is a dog tho","[5528, 54, 3412, 7607, 8076]","[9881, 19349, 8391, 12989, 13057]",0,1
2713,2713,2713,"I hope everyone reads this.  Caitlin Clark totally praises @Reese10Angel &amp; says how much she admires her game. She makes it clear she never thought Angel did anything wrong.  It was a GREAT game. SO much fun to watch. Let's go back to that, shall we?","[951, 3178, 3730, 2568, 6234]","[7768, 13605, 24721, 7558, 7484]",1,2
2715,2715,2715,Caitlin Clark Has Honest Admission About Angel Reese Taunting Her #NewsBreak https://t.co/HKmuHSfxPT,"[958, 3976, 7273, 392, 3222]","[9881, 13605, 1180, 6075, 24004]",0,2
2716,2716,2716,"@MattWalshBlog Caitlin Clark said it’s all part of the game and people should not be criticizing Angel Reese.  In her interview, Caitlin spoke highly of Angel.  She said that emotion is part of the game—that’s part of what makes it fun.","[951, 7651, 3730, 2973, 2455]","[7768, 5469, 22873, 22042, 22381]",1,2
2717,2717,2717,I need a Angel Reese who Move like Caitlin Clark 🤦🏽‍♂️,"[5826, 1748, 6777, 3730, 951]","[24656, 17407, 13605, 7768, 12451]",1,2
2718,2718,2718,@RJalias @Carrie_Jeanne The white dudes who are knocking down Angel Reese on social media aren't doing it to build up Caitlin Clark.,"[958, 2974, 793, 2665, 1748]","[3914, 5340, 19899, 6075, 13564]",0,0
2719,2719,2719,"Her response of equation and ""all is fine"" is going to trigger all the anonymous guy twitter feeds. Caitlin Clark and Angel Reese will probably be doing shoe and McDonald's commercials together like Magic and Bird (who didn't like each other initially).","[3256, 2974, 4381, 1748, 4958]","[9881, 22381, 12049, 2129, 19795]",1,2
2720,2720,2720,@IowaHoopsDave i’d put 19-20 over 20-21 given the limited rotation and injury issues.,"[3503, 6486, 3302, 394, 7818]","[2669, 15938, 19837, 2498, 18145]",0,2
2722,2722,2722,"Iowa star Caitlin Clark defends Angel Reese amid criticism, speaks on invitation to White House https://t.co/R5t5VJhG2t via @Yahoo","[6234, 4716, 5172, 3476, 392]","[14537, 23738, 19895, 21628, 3671]",1,2
2723,2723,2723,I have a question. At what precise point did Caitlin Clark become white people’s Elvis/Babe Ruth?,"[4052, 6596, 3036, 5075, 3496]","[13682, 22824, 9120, 11921, 21418]",0,2
2724,2724,2724,@Shariinthesky Caitlin Clark got the John Wooden Award today. #gohawks 🏀💛🖤,"[4843, 3764, 1469, 3302, 3503]","[17337, 1528, 7167, 12107, 2714]",1,2
2725,2725,2725,"Once again, Caitlin Clark shows class and I’ll leave the rest unsaid bc how dare anyone criticize a player of color. Give me fucking break.","[8159, 7734, 6234, 7607, 2795]","[23594, 24405, 15088, 3292, 9251]",0,0
2726,2726,2726,@scherrman @OGKS_ @KING_F0RD @ryan_law @bigashlol If Caitlin Clark says there is no issue then neither should fans,"[2568, 4958, 2691, 2455, 6902]","[4976, 5669, 3932, 19317, 3806]",1,2
2727,2727,2727,"Clark: Reese flak unfair, WH not for 'runner-ups' - -a good statement from Caitlin Clark -only LSU should go to WH; criticism of Angel Reese is unfair. 👍🏾👍🏾 https://t.co/L3i1My9JHZ","[392, 5826, 2026, 6777, 966]","[18399, 17995, 6680, 20224, 7507]",1,2
2728,2728,2728,@RGIII Caitlin Clark is a better QB than you...  You're too soft.,"[1508, 2026, 4638, 459, 8406]","[18399, 6287, 16006, 16233, 4049]",0,0
2729,2729,2729,"Iowa standout Caitlin Clark says there's no reason for LSU's Angel Reese to be criticized on social media for waving her hand while staring ... —Associated Press
https://t.co/stsiHn18gD","[5172, 6234, 4752, 6190, 951]","[17778, 14537, 15251, 21581, 404]",1,2
2731,2731,2731,@AP Because Caitlin Clark knows she did the same to @Reese10Angel and no one even said cluck cluck.,"[6777, 5528, 2026, 4437, 6664]","[6026, 4133, 6075, 6245, 5177]",0,2
2732,2732,2732,"Caitlin Clark, you may be cool peoples after all 😂","[3222, 1226, 958, 5528, 2353]","[13059, 9881, 20713, 19058, 19899]",1,2
2733,2733,2733,@TheMasters surprised caitlin clark aint there,"[5528, 958, 4437, 2795, 4958]","[5137, 6075, 6068, 5177, 5340]",0,2
2734,2734,2734,idk about yall but im on Caitlin Clark side,"[958, 5528, 4958, 644, 2608]","[9881, 8397, 5835, 6522, 13564]",1,2
2735,2735,2735,"All these ""Angel should learn from Caitlin"", ""Clark is being the bigger person"", ""now that's what I call class"" comments in the new narrative are still SO very loaded.","[958, 2843, 2568, 4958, 7607]","[17037, 8281, 9251, 13605, 9881]",0,0
2736,2736,2736,#NCAA Championship Men's/Women's #Angel Reese #Caitlin Clark #Mavericks Free Fall https://t.co/acMO6k3WWM,"[2026, 5865, 4298, 3922, 5528]","[724, 17995, 5305, 842, 24711]",0,2
2737,2737,2737,"It’s right fucking there people 😂 OWN YOUR SHIT 
#CaitlinClark #AngelReese https://t.co/hwdyyBJwTB","[3730, 6076, 5257, 5417, 318]","[19899, 19621, 5949, 7768, 19058]",0,1
2738,2738,2738,"Whatever people's anger or resentment about the end of the Iowa-LSU title game, that is not on  #CaitlinClark. She has done nothing to contribute to it or inflame it. Staying above it at all times. Time to move on.","[2852, 6234, 4958, 6914, 7188]","[3925, 8393, 17778, 1517, 21526]",1,2
2739,2739,2739,"@Jeffpar24916600 @andykopsa @msolurin Likable to who? Angel Reese has 2.4M followers on social media, about triple of Caitlin Clark","[2665, 958, 754, 1748, 2974]","[12675, 19899, 3136, 3787, 19058]",1,2
2740,2740,2740,"Caitlin Clark: ""I don't think Angel [Reese] should be criticized at all...She should never be criticized for what she did""

Simps who thought they were saving a damsel in distress:😭 *crying alone under the covers*

#AngelReese #CaitlinClark #lsuvsiowa 
https://t.co/yrSBNJUIRH","[951, 3730, 3925, 6234, 4292]","[7768, 23748, 8282, 8281, 13605]",1,2
2741,2741,2741,@WilliamsLathon @TheReaLBruCur @Reese10Angel According to who?? Caitlin Clark had nothing but praise for Angel Reese and said many players trash talk during games. Why is it that you only see Angel Reese as talking trash? Get over it and move on. Angel Reeses’ FG % was better!,"[2026, 6777, 6234, 5826, 7607]","[22511, 9338, 201, 6062, 8139]",1,2
2742,2742,2742,"People that are complaining about Angel Reese and not Caitlin Clark never played competive sports. 

Oh, and also are racist af.","[4643, 6234, 4626, 7607, 7366]","[15088, 13917, 16310, 7546, 11460]",0,0
2743,2743,2743,@iamErvgotti_21 Lol Erv gotti I gotta disagree with you on this one. She wanted to show respect to her and actually give her her flowers. But it has to be a special player for me to be okay with it and Caitlin Clark is definitely a special player.,"[3222, 2026, 6234, 4958, 7607]","[22874, 4133, 4668, 5226, 20993]",1,2
2744,2744,2744,"@lib_trucker @Gaarioss @Natekneezy @MarquesTownes @nkhbevins Because if you are watching sports channels and social media platforms, most people are taking Reese’s side in this. Even Caitlin Clark is… not sure whats hard to understand about that.","[6777, 5826, 1748, 2974, 4760]","[3866, 4214, 4976, 7425, 17999]",1,2
2745,2745,2745,"Caitlin Clark hints at gender double standard with trash talk, says Angel Reese 'should never' be criticized | Fox News “Princess “ Reese took it too far. It’s one thing to trash talk in the moment. It’s entirely another to not STFU after an eternity  https://t.co/HTzXhhLkwp","[4287, 4381, 3230, 5529, 5430]","[20201, 156, 15251, 12706, 13644]",0,2
2746,2746,2746,"New episode alert 🚨 

C Ruff discusses the final week of the NBA reg season, ncaa championship games, Angel Reese/Caitlin Clark trash talk, WSSU hoops legend Tiana Edwards joins the show, Ruff Rant🎙️ 

iTunes: https://t.co/WhrKb4OEh0

Spotify: https://t.co/QqXboCfM8k https://t.co/l2Ct9Lfuml","[2068, 8334, 7243, 6778, 6325]","[10568, 18740, 11815, 9454, 1098]",1,2
2748,2748,2748,@stephenasmith Angel Reese and Caitlin Clark can be the second coming of MAGIC AND BIRD!!,"[2026, 1748, 8462, 5826, 2256]","[5993, 6257, 6678, 3921, 7046]",1,2
2749,2749,2749,"@BarstoolUIowa Angel Reese: 1 National Championship

Caitlin Clark: 0 National Championships","[6777, 3503, 5826, 6105, 5528]","[18399, 14932, 14463, 9360, 12107]",0,2
2750,2750,2750,@kvngboogie21 @NBAexpert1932 @espn We do not care about “the comments”… people only tuned in to see Caitlin Clark because she was dropping 40 point triple doubles. Nobody cares about the rest of this sport,"[5528, 2691, 2455, 5865, 6132]","[19899, 4133, 6740, 18399, 4831]",0,0
2751,2751,2751,Caitlin raw af tho Idgaf! Media blew this thang way out of proportion. I see 2 competitors competin! Reese did her thing too but Clark just got that shit you can’t teach…,"[2026, 6234, 3222, 6777, 2795]","[22771, 12867, 5137, 20993, 22668]",0,2
2753,2753,2753,"Race a factor in Angel Reese, Caitlin Clark treatment 
#breakingnews https://t.co/G36rCp1sV8 #news #sports","[6777, 1748, 8462, 966, 1973]","[24072, 17979, 8847, 9881, 7425]",0,0
2754,2754,2754,Meanwhile that white girl Caitlin Clark was watched and known for how she plays ball. These crackas knew her and supported her and didnt need all the extra antics or controversial media coverage for her to be noticed. Us as a people need to do better with why we support our OWN!,"[5528, 8203, 7607, 4643, 4321]","[7289, 9120, 3292, 16075, 4074]",1,2
2755,2755,2755,"@JNforsports There are a million ways I could take this, but I'm just glong to respectfully say NO.

Besides, Caitlin Clark doesn't strike me as the type who would want to go unless she had earned it. If asked, it wouldn't shock me if she said no.","[2455, 5528, 2201, 4716, 1748]","[11567, 12352, 11497, 9881, 8333]",0,2
2756,2756,2756,@RGIII Angel Reese and Caitlin Clark can be the second coming of MAGIC AND BIRD!!,"[5826, 1748, 2026, 6777, 8462]","[5993, 24414, 6257, 4668, 3586]",1,2
2757,2757,2757,@MyPoetryHurts @dannykanell low IQ take. another difference: Caitlin Clark is the only reason anyone was watching the game. Angel’s a 6’3 forward who can make layups but knew she could play victim to get national attention.,"[2026, 6234, 8015, 4437, 29]","[7768, 7119, 24558, 18399, 20431]",0,0
2758,2758,2758,@49erfaithful93 @JNforsports Caitlin Clark already shot down this idea. The White House walked it back almost immediately. Non story. Time for folks to get fake mad at something else!,"[7820, 3976, 2833, 5269, 2312]","[14139, 16366, 4393, 8302, 16462]",0,2
2759,2759,2759,@SportsCenter Caitlin Clark can't see that ring hahahahahahahahahahahaha LETS GO LSU!!!!,"[5528, 7294, 2026, 5645, 3462]","[12296, 6075, 8393, 18399, 17778]",0,1
2761,2761,2761,"Caitlin Clark sends clear message to Joe Biden"" on SmartNews: https://t.co/AtEvqCLp9J #SmartNews","[3976, 959, 661, 6745, 5528]","[3671, 16281, 20274, 18492, 19486]",1,2
2762,2762,2762,Why we need more players like Caitlin Clark &amp; Angel Reese in college football https://t.co/ddWgt1CXuF,"[4643, 2026, 8193, 5529, 6234]","[6680, 14832, 22626, 17995, 22907]",1,2
2763,2763,2763,Angel Reese Is Crushing Caitlin Clark Off the Court as Well https://t.co/UEA7sikzou    People that do what Reese did usually regret it later. I am sure she will.,"[6777, 5826, 2026, 4808, 6234]","[11497, 4551, 6972, 14832, 9881]",0,2
2764,2764,2764,"No Kap Black people pull the race card so quick .. I swear what ppl saying bout Caitlin Clark and Angel Reese ain’t racially motivated, they really see a difference.. now what Biden wife did on the other hand ? Definitely a Joke. Idc I stand w/ that one","[4848, 5432, 6976, 7581, 8462]","[15088, 19550, 4628, 6397, 16103]",1,2
2765,2765,2765,"Angel Reese said she taunted Caitlin Clark due to disrespect, she’s used to backlash, and that she’ll continue being a voice for Black women on NBA Today [VIDEO] https://t.co/qpdK6CYp1E","[2665, 1512, 2026, 6955, 7465]","[373, 12851, 272, 15088, 1445]",1,2
2766,2766,2766,"People just need to let go of the smack talk between Caitlin Clark and Angel Reese. Both were awesome in the tournament. Smack talk is fun. In the end they should just both transfer to Pitt after Heather Lyke’s eventual homerun hire. Hell, let’s get Paige Bueckers to Pitt as well","[2974, 2026, 6777, 6664, 7366]","[22668, 13751, 22771, 17791, 12592]",1,2
2768,2768,2768,"@BleacherReport @OTLonESPN Excellent, I'm so proud of #CaitlinClark. She shows more class and maturity. #AngelReese should learn a lesson from her and change her attitude. All those who think Reese acted right are out of their mind.","[6777, 1748, 2026, 5826, 3222]","[6904, 6075, 17081, 6724, 8281]",0,0
2769,2769,2769,"@TheNBACentral @awfulannouncing Everybody knows Caitlin Clark is superior, so she gets the most backlash lol. Man she must have offended a lot of people just by being an absolute BALLER","[2665, 7607, 6579, 4137, 3237]","[4133, 6075, 3941, 6068, 16881]",1,2
2770,2770,2770,@devahaz Caitlin Clark is a Pro in PR too!,"[5528, 2026, 1475, 392, 2655]","[6855, 4427, 6075, 5340, 5137]",1,2
2771,2771,2771,@Zia_cowboy88 @mom22many09 @Ben_Z30 @awebbreese @sportsiren Go look at the interview that she did on set with Mulkey after the game. She started by saying how great of a player Caitlin is. The entire team did. There’s even a video of one of them being excited to meet Caitlin in the hallway. None of this fits your narrative so I get it,"[2568, 2974, 4907, 1122, 2638]","[9881, 14832, 20761, 10985, 13564]",1,2
2772,2772,2772,"@mmpadellan First of all Caitlin Clark did it to her players only. Second of all Angel Reese followed her opponent around the court doing that. It's pretty basic that angel did it in a very classless way. No sportsmanship what's so f****** ever. So you're wrong, again.","[7838, 1594, 4643, 5865, 5632]","[22577, 14422, 9900, 13796, 24465]",0,0
2773,2773,2773,"Everyone still talking about Caitlin Clark and Reese taunting, what’s classless and what’s not, etc. What we need to be talking about was that atrocious officiating and how Kim Mulkey got away with pushing a ref!","[332, 6132, 8124, 7838, 6037]","[11408, 1776, 16451, 16310, 7638]",0,0
2774,2774,2774,This is what Caitlin Clark said. She’s not bothered. She was the genesis of the Reese comeback. She obviously doesn’t need anybody’s paternalistic protection. So let’s just shut up about it.,"[5826, 1748, 6777, 6234, 186]","[2073, 9883, 12852, 13644, 11183]",0,2
2775,2775,2775,@RGIII Gonna find some way to blame this on Caitlin Clark?,"[7607, 4437, 5528, 8453, 6181]","[5137, 1035, 22652, 16119, 24493]",0,2
2777,2777,2777,"Loved Doug Flutie… but now, it’s Caitlin Clark. #gohawks https://t.co/ilBOXDNd3d","[2608, 2026, 729, 384, 2795]","[17337, 9881, 4214, 11855, 21125]",1,2
2778,2778,2778,GSN-Checkout Caitlin Clark's taunting gesture. You be the judge.  https://t.co/m7kv0S8u3o,"[214, 90, 1057, 7607, 2455]","[23738, 18019, 352, 1714, 14328]",0,1
2779,2779,2779,"@debbieantonelli (1 of 2) couple days ago I was enjoying the women's championship. Now society wants us to choose sides between Angel Reese &amp; Caitlin Clark?? What kind of a society is this?! My offer is this: I want Caitlin Clark, Monika Czinano, Angel Reese &amp; her teammate","[4643, 4626, 4926, 3955, 2256]","[14125, 15709, 14243, 12364, 3059]",1,2
2780,2780,2780,This is so embarrassing lol,"[6061, 6269, 4568, 1592, 6077]","[24585, 24572, 8636, 24183, 9334]",0,2
2781,2781,2781,"@handz82 @espn @CaitlinClark22 Carlin Clark got called  out for previous gamesmanship (on a grand stage).  What goes around comes around.  Quit doing it, Or don't whine about it. Your whiny fans have to suffer so. BTW, I""m white was rooting for Iowa but realized Caitlin pushed the karma boundary. It's a  B.","[6190, 2852, 6132, 6234, 5172]","[731, 20123, 20224, 16451, 5749]",0,1
2782,2782,2782,"You guys I just saw Caitlin Clark covered on the Daily Show. The story was more about her than Angel than her tbh...

This was after Clark was in the NY Times. CNN. Fox. BBC. The list goes on....she is legit becoming a household name now. 

After all she's accomplished already... https://t.co/O63vj7xOhZ","[6234, 958, 7607, 4626, 8086]","[21634, 23639, 7768, 20723, 22060]",1,2
2783,2783,2783,"Angel Reese, ""there's no beef with Caitlin Clark.""
Also Reese... well after the game. https://t.co/UwlpPi2LiT","[6777, 5485, 2026, 3256, 6632]","[22668, 9881, 20475, 24414, 99]",0,2
2784,2784,2784,@HawkeyeHunz Reese…just FAFO!  Schooled by class!  Caitlin Clark!  The 🐐!,"[5528, 2681, 6077, 4760, 648]","[6075, 5511, 9881, 19077, 5177]",1,2
2785,2785,2785,@WhitlockJason Yeah the number where all about Caitlin Clark shes the peoples champ. If she is in it no one would care.,"[5528, 2568, 958, 2026, 8462]","[5137, 4843, 6740, 6075, 19058]",1,2
2786,2786,2786,Whitlock: Jill Biden wants to groom Caitlin Clark for the Democratic Party https://t.co/4wk1XGDiEq,"[3976, 2780, 3628, 5528, 8462]","[18679, 20837, 20838, 16296, 19486]",0,2
2787,2787,2787,A real one 👏🏾👏🏾 S/O Caitlin Clark 💯,"[5528, 1923, 958, 2118, 2164]","[9881, 5835, 6075, 5137, 18796]",1,2
2788,2788,2788,Iowa standout Caitlin Clark says there's no reason for LSU's Angel Reese to be criticized on social media for waving her hand while staring down Clark during the women's NCAA championship game.  https://t.co/WsaWakX45L,"[6234, 5172, 4716, 7607, 392]","[17778, 14537, 15251, 17037, 99]",1,2
2789,2789,2789,At this point my Twitter is just a Caitlin Clark fan page,"[4958, 2665, 958, 4601, 5796]","[5137, 5511, 11155, 7387, 6068]",1,2
2790,2790,2790,@NicoleAuerbach Caitlin Clark is a class act. Take notes kids. Always better to take the high road.,"[6348, 1768, 5528, 4669, 1205]","[16420, 19571, 19957, 3327, 5777]",1,2
2791,2791,2791,"The way some of you handled the Caitlin Clark and Angel Reese taunting stuff really revealed your true colors.

You're not like them. Stay in your lanes.

Congrats to both of them and their respective teams!","[3222, 3178, 6777, 2026, 544]","[22668, 19195, 16223, 4885, 5173]",1,2
2792,2792,2792,@JNforsports It's absurd and Caitlin Clark's response was spot on.  Jill Biden tried to turn the White House into a metaphorical participation ribbon for playing park district soccer as a 7-year-old.,"[4333, 1748, 6426, 8203, 775]","[20704, 13517, 7947, 9571, 12386]",0,0
2794,2794,2794,"@MurphyKeith Seriously....what the hell is NIKE waiting for.  Get a Caitlin Clark shoe out there like yesterday.  

There will be millions of kids who would spend $$ for a pair of those shoes.","[7578, 775, 245, 6798, 6843]","[2691, 12417, 219, 21067, 3818]",1,2
2796,2796,2796,"Caitlin Clark not the villain. Angel Reese not the villain. Men wanting to control women’s narratives are the villain, but what’s new.","[4263, 4926, 6234, 4716, 1748]","[9642, 12774, 18916, 21634, 10112]",0,2
2797,2797,2797,The CCC shall ride again (Caitlin Clark Clan),"[1023, 5383, 317, 8462, 3705]","[8586, 20530, 9881, 21686, 11761]",1,2
2798,2798,2798,"Gotta hand it to her. Caitlin Clark is a badass. Look at that deadpan stare. She says that the game ""was a lot of fun"" and that, ""they competed, I competed--it was fair""? Damn.

https://t.co/e4gWtq0uWD","[5528, 7607, 6234, 2795, 3222]","[16119, 5137, 20914, 352, 24493]",1,2
2799,2799,2799,"HBCU Women Basketball WNBA Aspirations, LSU Angel Reese TAUNTING Caitlin... https://t.co/WsDBTNJHj1 #caitlinclark #angelreese #alabamastatewomensbasketball #ncatwomensbasketball #lsubasketball #iowabasketball https://t.co/qm70n6GQKZ","[6190, 5865, 8203, 2026, 697]","[6499, 14832, 842, 2484, 20153]",1,2
2801,2801,2801,@IGotYouStressed @Keyboar54518543 @alexxz4nder @Reese10Angel Watch these press conferences from Caitlin Clark. That's what class and humility look like. That's why she will run circles around Bougie girl in the pros.,"[2665, 392, 8203, 4643, 8144]","[12640, 19614, 6973, 2667, 3122]",1,2
2804,2804,2804,Bill Simmons dubs Caitlin Clark 'next Steph Curry' - Basketball Network - Your daily dose of basketball https://t.co/hZnAoVAVnD,"[5865, 5053, 1823, 4684, 812]","[16134, 17995, 18059, 3039, 20464]",1,2
2805,2805,2805,"GSN-Monday night, Funny man Roy Wood Jr. began his week as guest host of “The Daily Show” by tackling updates on Trump’s indictment, Fox News warning about violence, and the Angel Reese – Caitlin Clark taunting controversy. https://t.co/qx8sRerJIp","[7243, 1014, 3674, 1788, 2312]","[15163, 9348, 18225, 20496, 20590]",1,2
2806,2806,2806,if caitlin clark was like mfs in savannah she would’ve transferred to LSU🤣🤣🤣,"[318, 5528, 2608, 7138, 6664]","[8397, 9881, 5137, 22771, 23947]",1,1
2807,2807,2807,"""She should never be criticized for what she did,"" Caitlin Clark said. ""I'm just one that competes and she competed. I think everybody knew there was gonna be a little trash talk in the entire tournament, it's not just me and Angel. https://t.co/je6VVfvRgQ","[5632, 5537, 6914, 8124, 6874]","[352, 19999, 21526, 22771, 20585]",1,2
2808,2808,2808,WCBB should do a commercial with Angel Reese and Caitlin Clark you can’t see me similar to MJ &amp;Bird!,"[4081, 7678, 2026, 8250, 648]","[24414, 13612, 5993, 3059, 8000]",1,2
2811,2811,2811,"Opinion | Caitlin Clark, Angel Reese trash talk isn’t good for women’s sports in Colorado, elsewhere. It’s great for it. “You need a villain.” (via @SeanKeeler) https://t.co/q1aHfmrnXL","[7651, 7607, 4684, 8250, 697]","[24593, 10435, 23114, 21491, 24608]",1,2
2812,2812,2812,@johnnylocal Caitlin Clark said thanks but no thanks…it’s LSU’s moment she said,"[5528, 417, 4737, 214, 7607]","[17778, 3354, 6180, 4879, 18635]",0,2
2813,2813,2813,@KD1OU @Knock32DTU @jemelehill Lol nope we love caitlin clark but hey you dish out disrespect you better be able to take it 😂,"[4437, 5528, 4958, 4601, 958]","[6075, 4133, 19899, 12675, 5669]",0,2
2814,2814,2814,Pt. 1  reflection on #caitlinclark https://t.co/ZNN8Qoe92v,"[2811, 716, 3886, 4814, 2671]","[17304, 9881, 16950, 19663, 17520]",0,2
2815,2815,2815,turns out the most articulate and mature people in the angel reese vs. caitlin clark debate were… angel reese and caitlin clark. maybe we should have just followed their lead.,"[3256, 5529, 4958, 4848, 6234]","[9881, 8282, 22668, 20475, 17791]",1,2
2816,2816,2816,"The ONLY time I'll ever post a Fox News story y'all
#caitlinclark #iowawbb #bigwbb 
https://t.co/IFKAiOCE5G","[3162, 6858, 596, 2312, 7322]","[3139, 6293, 3232, 6178, 4264]",1,2
2817,2817,2817,@Nadiology_ Nah I support it cause that Caitlin Clark girl stepped on the court doing the most thinking she had it in the bag. Then when they didn’t win and the other girl did it back it was a problem. Keep that same energy! She’s mad her team lost.,"[1594, 7919, 1691, 5492, 4616]","[5479, 24304, 6075, 2629, 2327]",0,2
2818,2818,2818,"@TheCapelessOne @PRINCE_ANGELUS_ @Alex_Wiley @Reese10Angel That’s the point, the better roster doesn’t always win… 

So stop making excuses for Caitlin Clark

They could’ve won that game, but they didn’t","[4843, 4437, 3503, 2531, 4498]","[18399, 6324, 3141, 19378, 5669]",0,2
2819,2819,2819,"@VogonVerses @loumoore12 Diana Taurasi? Sue Bird? Come on now...

I mean if you want to talk about it, no player before Caitlin Clark played quite like Caitlin Clark, that's why she is making the name for herself that she is making. But there have been PLENTY of white women players before CC","[5528, 958, 6234, 4716, 4626]","[5606, 6086, 2855, 5137, 14237]",0,2
2822,2822,2822,Caitlin Clark give an interview on Angel Reese | Watch here https://t.co/PKvwhp2DE0 via @YouTube,"[754, 2751, 3256, 3730, 6234]","[9881, 18916, 17979, 6599, 24414]",0,2
2823,2823,2823,"@soyesquire @jbblack08 @Hoosiers1986 @FOS @JazzC2_ I'm french and I don't know ANYTHING nor care about basketball, I know names like Lebron, Curry, Van Vleet and that about all, I don't know where they play or what they have won. But oh god I heard a LOT about Caitlin Clark in the last few days and that made me watch some of her","[5865, 2026, 5528, 417, 2527]","[12668, 3039, 16158, 1277, 16155]",1,2
2824,2824,2824,"@dannykanell @MikeFromWoburn What Angel Reese will never understand is 10 million people tuned in to see Caitlin Clark, not her and her childish antics","[5826, 2974, 2026, 6777, 1748]","[6075, 2846, 3825, 2447, 4940]",0,0
2825,2825,2825,We’re letting bogdanovic cook us,"[4491, 5357, 1957, 4272, 2626]","[19406, 9900, 8240, 9769, 5853]",1,1
2826,2826,2826,"The absolute tragedy of all of this is how some folks are just coming around to how good Angel Reese really is.  This is'nt new to people like myself, because I've been watching the women's game for years.  It sucks cause whether its Caitlin Clark, Angel Reese, or Paige","[4626, 951, 2026, 2568, 6777]","[7768, 22771, 9368, 9370, 758]",1,2
2828,2828,2828,@2Strong2Silence Caitlin Clark is great! She's a hero.,"[7607, 4263, 6234, 958, 6647]","[6075, 5511, 5137, 19899, 16399]",1,2
2829,2829,2829,Sports World Reacts To Tuesday's Caitlin Clark Announcement https://t.co/kCVoAFtGd4       @Robyn_RihannaRF    @Robyn_RihannaRF   @Robyn_RihannaRF,"[5528, 4226, 958, 2691, 7607]","[15956, 13564, 17106, 6075, 16051]",0,2
2830,2830,2830,Aint no way mfs still talking bout Caitlin Clark and Angel Reese. Finna mute all that shii,"[6664, 2568, 2026, 6234, 3256]","[22771, 12838, 20993, 13445, 18739]",0,2
2831,2831,2831,"Angel Reese vs Caitlin Clark beef business is not for people who play sports.  Nothing matters outside of blatant civil rights abuses. Just win the game and you get to brag.  

This comes from a guy that wanted Iowa to take it all.","[2778, 2638, 392, 4643, 2033]","[13796, 6499, 11334, 10269, 15839]",0,2
2832,2832,2832,"Lil Boosie send LARRY BIRD A MESSAGE.#lilboosie #lsu #shortsfeed #angelreese #caitlinclark #shorts
https://t.co/ciGK6MK03h","[29, 4684, 812, 5865, 4164]","[16440, 19520, 3922, 2955, 16210]",0,2
2834,2834,2834,"@AndrewJennette3 @CBKReport I wish they did man, they not hip","[5785, 726, 1014, 6051, 7682]","[5521, 2444, 3023, 6295, 2388]",0,2
2835,2835,2835,Angel Reese Doing John Cena “You Can’t See Me” Gesture To Caitlin Clark ... https://t.co/ELYtr3b1wq via @YouTube,"[951, 5537, 7720, 8019, 7465]","[272, 17868, 12981, 16412, 2129]",1,2
2836,2836,2836,@BlackdiasporaV1 They rather Show Angel Reese and angel reese and caitlin clark video and pictures than what's really going on in this world.,"[7651, 3835, 4421, 1555, 5529]","[6786, 11119, 8010, 22903, 17242]",0,1
2837,2837,2837,Caitlin Clark is a tremendous basketball player and an exceptionally classy human being and a wonderful role model for all young girls to look up. Keep up being amazing Caitlin!,"[5528, 3222, 4263, 2026, 2118]","[9881, 5744, 23955, 22413, 22874]",1,2
2838,2838,2838,"@stoolpresidente Caitlin Clark’s opinion of the incident is the only one that matters, and she has no problem with any of it. Move on.","[4437, 8483, 213, 342, 214]","[6609, 1250, 3932, 6834, 6308]",1,2
2840,2840,2840,"@AndyKHLiu Not like Caitlin Clark could even say if it did really bother her. Twitter would have her kicked out of the sport in 10
Minutes for going against the woke mob…","[4437, 5528, 7607, 7530, 4616]","[19572, 3941, 6068, 6075, 19795]",0,0
2841,2841,2841,The Wooden Award Gala will honor the men and women's Wooden Award winners in Los Angeles on April 7 where Caitlin Clark is the unanimous National Player of the Year. https://t.co/akzTZvcraW,"[3922, 81, 3488, 2666, 1594]","[12107, 21594, 15542, 1528, 19349]",1,2
2842,2842,2842,Caitlin Clark is 0-3 vs Angel Reese…,"[2026, 966, 6777, 6234, 5826]","[9881, 7558, 9368, 20993, 22771]",0,2
2843,2843,2843,"@Reese10Angel @Skool_boi I do not see a problem in what Angel Reese  did Caitlin Clark started it , and Angel finished it .  What is the beef?  Relax !!!","[7662, 6115, 3256, 2396, 6233]","[22127, 17026, 1555, 21868, 8074]",1,2
2844,2844,2844,"Opinion | Caitlin Clark, Angel Reese trash talk isn’t good for women’s sports in Colorado, elsewhere. It’s great for it. “You need a villain.” (via @SeanKeeler) https://t.co/w6GvXoiVKC","[7607, 7651, 4684, 8250, 697]","[24593, 10435, 23114, 21491, 21070]",1,2
2845,2845,2845,That’s why I hate if a non Black is in management they will look out for their own. In the Angel Reese vs Caitlin Clark situation. One person does something no one says anything.,"[6234, 2337, 4626, 6976, 5682]","[21418, 3292, 13644, 21620, 15542]",0,2
2846,2846,2846,Starting to root for Caitlin Clark after seeing this,"[5528, 958, 1168, 3976, 6234]","[9881, 5137, 6075, 11497, 9368]",1,2
